Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0148714261	283.862377	283.862377	283.862377	283.862377	0	0	0	0	0	0	0	3
2	4	0	0.0297428522	89.2215068	186.541942	89.2215068	283.862377	97.320435	0	0	0	0	0	0	3
3	5	0	0.0446142784	43.3752014	138.819695	43.3752014	283.862377	145.042682	0	0	0	0	0	0	3
4	6	0	0.0594857045	34.7539468	112.803258	34.7539468	283.862377	171.059119	0	0	0	0	0	0	3
5	7	0	0.0743571306	26.6759364	95.5777936	26.6759364	283.862377	188.284583	0	0	0	0	0	0	3
6	8	0	0.0892285567	21.3353027	83.2040451	21.3353027	283.862377	200.658332	0	0	0	0	0	0	3
7	9	0	0.104099983	17.6372845	73.837365	17.6372845	283.862377	210.025012	0	0	0	0	0	0	3
8	10	0	0.118971409	13.8479021	66.3386822	13.8479021	283.862377	217.523695	0	0	0	0	0	0	3
9	11	0	0.133842835	11.1493556	60.2065348	11.1493556	283.862377	223.655842	0	0	0	0	0	0	3
10	12	0	0.148714261	9.2482555	55.1107068	9.2482555	283.862377	228.75167	0	0	0	0	0	0	3
11	14	0	0.163585687	8.49854701	50.8732378	8.49854701	283.862377	232.989139	0	0	0	0	0	0	3
12	14	0	0.178457113	7.95283909	47.2965379	7.95283909	283.862377	236.565839	0	0	0	0	0	0	3
13	16	0	0.19332854	7.56508876	44.2402726	7.56508876	283.862377	239.622104	0	0	0	0	0	0	3
14	16	0	0.208199966	7.18278318	41.593309	7.18278318	283.862377	242.269068	0	0	0	0	0	0	3
15	18	0	0.223071392	7.04529846	39.2901083	7.04529846	283.862377	244.572268	0	0	0	0	0	0	3
16	19	0	0.237942818	6.89242851	37.2652533	6.89242851	283.862377	246.597123	0	0	0	0	0	0	3
17	20	0	0.252814244	6.72016938	35.4684837	6.72016938	283.862377	248.393893	0	0	0	0	0	0	3
18	21	0	0.26768567	6.57171545	33.8631077	6.57171545	283.862377	249.999269	0	0	0	0	0	0	3
19	22	0	0.282557096	6.45030917	32.4203288	6.45030917	283.862377	251.442048	0	0	0	0	0	0	3
20	23	0	0.297428522	6.30820502	31.1147226	6.30820502	283.862377	252.747654	0	0	0	0	0	0	3
21	24	0	0.312299948	6.22388958	29.9294449	6.22388958	283.862377	253.932932	0	0	0	0	0	0	3
22	25	0	0.327171375	6.12805567	28.8475635	6.12805567	283.862377	255.014813	0	0	0	0	0	0	3
23	26	0	0.342042801	6.01725155	27.8549413	6.01725155	283.862377	256.007435	0	0	0	0	0	0	3
24	27	0	0.356914227	5.94193125	26.9418992	5.94193125	283.862377	256.920478	0	0	0	0	0	0	3
25	28	0	0.371785653	5.87269252	26.0991309	5.87269252	283.862377	257.763246	0	0	0	0	0	0	3
26	29	0	0.386657079	5.82524747	25.3193662	5.82524747	283.862377	258.543011	0	0	0	0	0	0	3
27	30	0	0.401528505	5.77113211	24.5953575	5.77113211	283.862377	259.267019	0	0	0	0	0	0	3
28	31	0	0.416399931	5.73404114	23.9217391	5.73404114	283.862377	259.940638	0	0	0	0	0	0	3
29	32	0	0.431271357	5.67849307	23.2926616	5.67849307	283.862377	260.569715	0	0	0	0	0	0	3
30	33	0	0.446142784	5.65499096	22.7047393	5.65499096	283.862377	261.157638	0	0	0	0	0	0	3
31	34	0	0.46101421	5.61926181	22.1535948	5.61926181	283.862377	261.708782	0	0	0	0	0	0	3
32	35	0	0.475885636	5.63880821	21.6375077	5.61926181	283.862377	262.224869	0	0	0	0	0	0	3
33	36	0	0.490757062	5.59327996	21.151319	5.59327996	283.862377	262.711058	0	0	0	0	0	0	3
34	37	0	0.505628488	5.61055412	20.6942377	5.59327996	283.862377	263.168139	0	0	0	0	0	0	3
35	38	0	0.520499914	5.54595857	12.5084607	5.54595857	89.2215068	83.6755482	0	0	0	0	0	0	3
36	39	0	0.53537134	5.53136356	10.0469859	5.53136356	43.3752014	37.8438379	0	0	0	0	0	0	3
37	40	0	0.550242766	5.49002117	8.93271589	5.49002117	34.7539468	29.2639256	0	0	0	0	0	0	3
38	41	0	0.565114192	5.45897109	8.07109896	5.45897109	26.6759364	21.2169653	0	0	0	0	0	0	3
39	42	0	0.579985619	5.42732293	7.44613974	5.42732293	21.3353027	15.9079798	0	0	0	0	0	0	3
40	43	0	0.594857045	5.42270844	6.97812226	5.42270844	17.6372845	12.2145761	0	0	0	0	0	0	3
41	44	0	0.609728471	5.3953517	6.61806542	5.3953517	13.8479021	8.45255043	0	0	0	0	0	0	3
42	45	0	0.624599897	5.38836082	6.36925538	5.38836082	11.1493556	5.76099477	0	0	0	0	0	0	3
43	46	0	0.639471323	5.36666587	6.19917627	5.36666587	9.2482555	3.88158963	0	0	0	0	0	0	3
44	47	0	0.654342749	5.36903322	6.08508149	5.36666587	8.49854701	3.13188114	0	0	0	0	0	0	3
45	48	0	0.669214175	5.35391392	5.99259229	5.35391392	7.95283909	2.59892517	0	0	0	0	0	0	3
46	49	0	0.684085601	5.34934744	5.916019	5.34934744	7.56508876	2.21574133	0	0	0	0	0	0	3
47	50	0	0.698957028	5.33496884	5.85042724	5.33496884	7.18278318	1.84781434	0	0	0	0	0	0	3
48	52	0	0.713828454	5.33783832	5.79616416	5.33496884	7.04529846	1.71032962	0	0	0	0	0	0	3
49	53	0	0.72869988	5.31570386	5.74529373	5.31570386	6.89242851	1.57672465	0	0	0	0	0	0	3
50	54	0	0.743571306	5.3221822	5.69911001	5.31570386	6.72016938	1.40446552	0	0	0	0	0	0	3
51	55	0	0.758442732	5.3117947	5.65768723	5.3117947	6.57171545	1.25992075	0	0	0	0	0	0	3
52	56	0	0.773314158	5.30524816	5.62043819	5.30524816	6.45030917	1.14506101	0	0	0	0	0	0	3
53	57	0	0.788185584	5.30368697	5.58671401	5.30368697	6.30820502	1.00451805	0	0	0	0	0	0	3
54	58	0	0.80305701	5.30630133	5.55724625	5.30368697	6.22388958	0.920202614	0	0	0	0	0	0	3
