Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0136067374	3.83895833	3.83895833	3.83895833	3.83895833	0	0	0	0	0	0	0	3
2	7	0	0.0272134748	0.900867082	2.36991271	0.900867082	3.83895833	1.46904562	0	0	0	0	0	0	3
3	9	0	0.0408202122	0.432878304	1.72423457	0.432878304	3.83895833	2.11472376	0	0	0	0	0	0	3
4	10	0	0.0544269496	0.279418428	1.36303054	0.279418428	3.83895833	2.47592779	0	0	0	0	0	0	3
5	11	0	0.068033687	0.225164805	1.13545739	0.225164805	3.83895833	2.70350094	0	0	0	0	0	0	3
6	12	0	0.0816404244	0.193860981	0.978524655	0.193860981	3.83895833	2.86043367	0	0	0	0	0	0	3
7	13	0	0.0952471618	0.171794361	0.86327747	0.171794361	3.83895833	2.97568086	0	0	0	0	0	0	3
8	14	0	0.108853899	0.144520291	0.773432823	0.144520291	3.83895833	3.06552551	0	0	0	0	0	0	3
9	16	0	0.122460637	0.126425001	0.701543065	0.126425001	3.83895833	3.13741526	0	0	0	0	0	0	3
10	17	0	0.136067374	0.108503613	0.642239119	0.108503613	3.83895833	3.19671921	0	0	0	0	0	0	3
11	18	0	0.149674111	0.099908407	0.592936327	0.099908407	3.83895833	3.246022	0	0	0	0	0	0	3
12	19	0	0.163280849	0.0896832324	0.55099857	0.0896832324	3.83895833	3.28795976	0	0	0	0	0	0	3
13	20	0	0.176887586	0.0828024894	0.514983486	0.0828024894	3.83895833	3.32397484	0	0	0	0	0	0	3
14	21	0	0.190494324	0.0794593374	0.483874619	0.0794593374	3.83895833	3.35508371	0	0	0	0	0	0	3
15	22	0	0.204101061	0.0767188624	0.456730902	0.0767188624	3.83895833	3.38222743	0	0	0	0	0	0	3
16	23	0	0.217707798	0.0738816543	0.432802824	0.0738816543	3.83895833	3.40615551	0	0	0	0	0	0	3
17	25	0	0.231314536	0.0709719444	0.411518654	0.0709719444	3.83895833	3.42743967	0	0	0	0	0	0	3
