Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0148714261	0	0	0	0	0	0	0	0	0	0	0	3
2	4	0	0.0297428522	0	0	0	0	0	0	0	0	0	0	0	3
3	5	0	0.0446142784	0	0	0	0	0	0	0	0	0	0	0	3
4	6	0	0.0594857045	0	0	0	0	0	0	0	0	0	0	0	3
5	7	0	0.0743571306	0	0	0	0	0	0	0	0	0	0	0	3
6	8	0	0.0892285567	0	0	0	0	0	0	0	0	0	0	0	3
7	9	0	0.104099983	0	0	0	0	0	0	0	0	0	0	0	3
8	10	0	0.118971409	0	0	0	0	0	0	0	0	0	0	0	3
9	11	0	0.133842835	0	0	0	0	0	0	0	0	0	0	0	3
10	12	0	0.148714261	0	0	0	0	0	0	0	0	0	0	0	3
11	14	0	0.163585687	0	0	0	0	0	0	0	0	0	0	0	3
12	14	0	0.178457113	0	0	0	0	0	0	0	0	0	0	0	3
13	16	0	0.19332854	0	0	0	0	0	0	0	0	0	0	0	3
14	16	0	0.208199966	0	0	0	0	0	0	0	0	0	0	0	3
15	18	0	0.223071392	0	0	0	0	0	0	0	0	0	0	0	3
16	19	0	0.237942818	0	0	0	0	0	0	0	0	0	0	0	3
17	20	0	0.252814244	0	0	0	0	0	0	0	0	0	0	0	3
18	21	0	0.26768567	0	0	0	0	0	0	0	0	0	0	0	3
19	22	0	0.282557096	0	0	0	0	0	0	0	0	0	0	0	3
20	23	0	0.297428522	0	0	0	0	0	0	0	0	0	0	0	3
21	24	0	0.312299948	0	0	0	0	0	0	0	0	0	0	0	3
22	25	0	0.327171375	0	0	0	0	0	0	0	0	0	0	0	3
23	26	0	0.342042801	0	0	0	0	0	0	0	0	0	0	0	3
24	27	0	0.356914227	0	0	0	0	0	0	0	0	0	0	0	3
25	28	0	0.371785653	0	0	0	0	0	0	0	0	0	0	0	3
26	29	0	0.386657079	0	0	0	0	0	0	0	0	0	0	0	3
27	30	0	0.401528505	0	0	0	0	0	0	0	0	0	0	0	3
28	31	0	0.416399931	0	0	0	0	0	0	0	0	0	0	0	3
29	32	0	0.431271357	0	0	0	0	0	0	0	0	0	0	0	3
30	33	0	0.446142784	0	0	0	0	0	0	0	0	0	0	0	3
31	34	0	0.46101421	0	0	0	0	0	0	0	0	0	0	0	3
32	35	0	0.475885636	0	0	0	0	0	0	0	0	0	0	0	3
33	36	0	0.490757062	0	0	0	0	0	0	0	0	0	0	0	3
34	37	0	0.505628488	0	0	0	0	0	0	0	0	0	0	0	3
35	38	0	0.520499914	0	0	0	0	0	0	0	0	0	0	0	3
36	39	0	0.53537134	0	0	0	0	0	0	0	0	0	0	0	3
37	40	0	0.550242766	0	0	0	0	0	0	0	0	0	0	0	3
38	41	0	0.565114192	0	0	0	0	0	0	0	0	0	0	0	3
39	42	0	0.579985619	0	0	0	0	0	0	0	0	0	0	0	3
40	43	0	0.594857045	0	0	0	0	0	0	0	0	0	0	0	3
41	44	0	0.609728471	0	0	0	0	0	0	0	0	0	0	0	3
42	45	0	0.624599897	0	0	0	0	0	0	0	0	0	0	0	3
43	46	0	0.639471323	0	0	0	0	0	0	0	0	0	0	0	3
44	47	0	0.654342749	0	0	0	0	0	0	0	0	0	0	0	3
45	48	0	0.669214175	0	0	0	0	0	0	0	0	0	0	0	3
46	49	0	0.684085601	0	0	0	0	0	0	0	0	0	0	0	3
47	50	0	0.698957028	0	0	0	0	0	0	0	0	0	0	0	3
48	52	0	0.713828454	0	0	0	0	0	0	0	0	0	0	0	3
49	53	0	0.72869988	0	0	0	0	0	0	0	0	0	0	0	3
50	54	0	0.743571306	0	0	0	0	0	0	0	0	0	0	0	3
51	55	0	0.758442732	0	0	0	0	0	0	0	0	0	0	0	3
52	56	0	0.773314158	0	0	0	0	0	0	0	0	0	0	0	3
53	57	0	0.788185584	0	0	0	0	0	0	0	0	0	0	0	3
54	58	0	0.80305701	0	0	0	0	0	0	0	0	0	0	0	3
55	59	0	0.817928437	0	0	0	0	0	0	0	0	0	0	0	3
56	60	0	0.832799863	0	0	0	0	0	0	0	0	0	0	0	3
57	61	0	0.847671289	0	0	0	0	0	0	0	0	0	0	0	3
58	62	0	0.862542715	0	0	0	0	0	0	0	0	0	0	0	3
59	63	0	0.877414141	0	0	0	0	0	0	0	0	0	0	0	3
60	64	0	0.892285567	0	0	0	0	0	0	0	0	0	0	0	3
61	65	0	0.907156993	0	0	0	0	0	0	0	0	0	0	0	3
62	66	0	0.922028419	0	0	0	0	0	0	0	0	0	0	0	3
63	67	0	0.936899845	0	0	0	0	0	0	0	0	0	0	0	3
64	68	0	0.951771272	0	0	0	0	0	0	0	0	0	0	0	3
65	69	0	0.966642698	0	0	0	0	0	0	0	0	0	0	0	3
66	70	0	0.981514124	0	0	0	0	0	0	0	0	0	0	0	3
67	71	0	0.99638555	0	0	0	0	0	0	0	0	0	0	0	3
68	72	0	1.01125698	0	0	0	0	0	5e-06	0	0	0	0	0	3
