Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0136067374	0	0	0	0	0	0	0	0	0	0	0	3
2	7	0	0.0272134748	0	0	0	0	0	0	0	0	0	0	0	3
3	9	0	0.0408202122	0	0	0	0	0	0	0	0	0	0	0	3
4	10	0	0.0544269496	0	0	0	0	0	0	0	0	0	0	0	3
5	11	0	0.068033687	0	0	0	0	0	0	0	0	0	0	0	3
6	12	0	0.0816404244	0	0	0	0	0	0	0	0	0	0	0	3
7	13	0	0.0952471618	0	0	0	0	0	0	0	0	0	0	0	3
8	14	0	0.108853899	0	0	0	0	0	0	0	0	0	0	0	3
9	16	0	0.122460637	0	0	0	0	0	0	0	0	0	0	0	3
10	17	0	0.136067374	0	0	0	0	0	0	0	0	0	0	0	3
11	18	0	0.149674111	0	0	0	0	0	0	0	0	0	0	0	3
12	19	0	0.163280849	0	0	0	0	0	0	0	0	0	0	0	3
13	20	0	0.176887586	0	0	0	0	0	0	0	0	0	0	0	3
14	21	0	0.190494324	0	0	0	0	0	0	0	0	0	0	0	3
15	22	0	0.204101061	0	0	0	0	0	0	0	0	0	0	0	3
16	23	0	0.217707798	0	0	0	0	0	0	0	0	0	0	0	3
17	25	0	0.231314536	0	0	0	0	0	0	0	0	0	0	0	3
