Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0	0.0148714261	101324.892	101324.892	101324.892	101324.892	0	0	0	0	545.509	0	0	3
2	4	0	0.0297428522	101324.947	101324.919	101324.892	101324.947	0.0275246727	0	0	0	222.319	0	0	3
3	5	0	0.0446142784	101324.973	101324.937	101324.892	101324.973	0.0452393809	0	0	0	167.115	0	0	3
4	6	0	0.0594857045	101324.979	101324.947	101324.892	101324.979	0.0556239942	0	0	0	134.246	0	0	3
5	7	0	0.0743571306	101324.984	101324.955	101324.892	101324.984	0.0628444053	0	0	0	85.2115	0	0	3
6	8	0	0.0892285567	101324.987	101324.96	101324.892	101324.987	0.0682503521	0	0	0	61.5097	0	0	3
7	9	0	0.104099983	101324.991	101324.964	101324.892	101324.991	0.0726296622	0	0	0	52.0415	0	0	3
8	10	0	0.118971409	101324.993	101324.968	101324.892	101324.993	0.0762148183	0	0	0	42.6679	0	0	3
9	11	0	0.133842835	101324.995	101324.971	101324.892	101324.995	0.0792013762	0	0	0	44.1553	0	0	3
10	12	0	0.148714261	101324.996	101324.974	101324.892	101324.996	0.081700653	0	0	0	43.2582	0	0	3
11	14	0	0.163585687	101324.997	101324.976	101324.892	101324.997	0.0838015312	0	0	0	44.2377	0	0	3
12	14	0	0.178457113	101324.997	101324.977	101324.892	101324.997	0.0855960276	0	0	0	43.456	0	0	3
13	16	0	0.19332854	101324.998	101324.979	101324.892	101324.998	0.0871405784	0	0	0	44.3456	0	0	3
14	16	0	0.208199966	101324.998	101324.98	101324.892	101324.998	0.0884709326	0	0	0	43.5165	0	0	3
15	18	0	0.223071392	101324.998	101324.981	101324.892	101324.998	0.0896412287	0	0	0	44.2734	0	0	3
16	19	0	0.237942818	101324.998	101324.983	101324.892	101324.998	0.090669631	0	0	0	43.819	0	0	3
17	20	0	0.252814244	101324.998	101324.983	101324.892	101324.998	0.0915764327	0	0	0	43.8039	0	0	3
18	21	0	0.26768567	101324.998	101324.984	101324.892	101324.998	0.0923893108	0	0	0	43.5047	0	0	3
19	22	0	0.282557096	101324.998	101324.985	101324.892	101324.998	0.0931168384	0	0	0	43.0048	0	0	3
20	23	0	0.297428522	101324.998	101324.986	101324.892	101324.998	0.0937759723	0	0	0	42.8917	0	0	3
21	24	0	0.312299948	101324.998	101324.986	101324.892	101324.998	0.0943697107	0	0	0	42.2671	0	0	3
22	25	0	0.327171375	101324.998	101324.987	101324.892	101324.998	0.0949071001	0	0	0	42.4384	0	0	3
23	26	0	0.342042801	101324.998	101324.987	101324.892	101324.998	0.0953905819	0	0	0	41.5108	0	0	3
24	27	0	0.356914227	101324.998	101324.988	101324.892	101324.998	0.095828941	0	0	0	41.9391	0	0	3
25	28	0	0.371785653	101324.998	101324.988	101324.892	101324.998	0.0962258007	0	0	0	41.2249	0	0	3
26	29	0	0.386657079	101324.997	101324.988	101324.892	101324.998	0.0965851912	0	0	0	41.3904	0	0	3
27	30	0	0.401528505	101324.997	101324.989	101324.892	101324.998	0.0969105711	0	0	0	40.3868	0	0	3
28	31	0	0.416399931	101324.997	101324.989	101324.892	101324.998	0.0972069594	0	0	0	40.7417	0	0	3
29	32	0	0.431271357	101324.997	101324.989	101324.892	101324.998	0.0974790229	0	0	0	39.2678	0	0	3
30	33	0	0.446142784	101324.997	101324.99	101324.892	101324.998	0.0977312847	0	0	0	39.5872	0	0	3
31	34	0	0.46101421	101324.997	101324.99	101324.892	101324.998	0.0979648236	0	0	0	38.1529	0	0	3
32	35	0	0.475885636	101324.997	101324.99	101324.892	101324.998	0.0981834179	0	0	0	37.456	0	0	3
33	36	0	0.490757062	101324.997	101324.99	101324.892	101324.998	0.0983860674	0	0	0	36.5377	0	0	3
34	37	0	0.505628488	101324.997	101324.99	101324.892	101324.998	0.0985753583	0	0	0	35.8737	0	0	3
35	38	0	0.520499914	101324.997	101324.994	101324.947	101324.998	0.0512501701	0	0	0	34.7202	0	0	3
36	39	0	0.53537134	101324.997	101324.995	101324.973	101324.998	0.025630718	0	0	0	34.1502	0	0	3
37	40	0	0.550242766	101324.997	101324.996	101324.979	101324.998	0.0195216814	0	0	0	32.3056	0	0	3
38	41	0	0.565114192	101324.997	101324.996	101324.984	101324.998	0.0145734656	0	0	0	32.0305	0	0	3
39	42	0	0.579985619	101324.997	101324.997	101324.987	101324.998	0.0110194297	0	0	0	30.7451	0	0	3
40	43	0	0.594857045	101324.997	101324.997	101324.991	101324.998	0.00739399283	0	0	0	30.469	0	0	3
41	44	0	0.609728471	101324.997	101324.997	101324.993	101324.998	0.00498860383	0	0	0	29.403	0	0	3
42	45	0	0.624599897	101324.997	101324.997	101324.995	101324.998	0.00320567616	0	0	0	29.3028	0	0	3
43	46	0	0.639471323	101324.997	101324.997	101324.996	101324.998	0.00210537111	0	0	0	28.5131	0	0	3
44	47	0	0.654342749	101324.997	101324.997	101324.997	101324.998	0.00160213553	0	0	0	28.3267	0	0	3
45	48	0	0.669214175	101324.996	101324.997	101324.996	101324.998	0.00168497213	0	0	0	27.3793	0	0	3
46	49	0	0.684085601	101324.996	101324.997	101324.996	101324.998	0.00176665843	0	0	0	27.3264	0	0	3
47	50	0	0.698957028	101324.996	101324.997	101324.996	101324.998	0.0018251453	0	0	0	26.6224	0	0	3
48	52	0	0.713828454	101324.996	101324.997	101324.996	101324.998	0.00186536873	0	0	0	26.5072	0	0	3
49	53	0	0.72869988	101324.996	101324.997	101324.996	101324.998	0.00192770279	0	0	0	25.9965	0	0	3
50	54	0	0.743571306	101324.996	101324.997	101324.996	101324.998	0.00192770279	0	0	0	25.8467	0	0	3
51	55	0	0.758442732	101324.996	101324.997	101324.996	101324.998	0.00192770279	0	0	0	25.6043	0	0	3
52	56	0	0.773314158	101324.996	101324.997	101324.996	101324.998	0.00192770279	0	0	0	25.7856	0	0	3
53	57	0	0.788185584	101324.996	101324.997	101324.996	101324.998	0.00192770279	0	0	0	25.506	0	0	3
54	58	0	0.80305701	101324.996	101324.997	101324.996	101324.998	0.00187266553	0	0	0	25.6793	0	0	3
55	59	0	0.817928437	101324.996	101324.997	101324.996	101324.998	0.00182046511	0	0	0	25.3248	0	0	3
56	60	0	0.832799863	101324.996	101324.997	101324.996	101324.998	0.00165536928	0	0	0	25.4554	0	0	3
57	61	0	0.847671289	101324.996	101324.997	101324.996	101324.998	0.00157997019	0	0	0	25.1038	0	0	3
58	62	0	0.862542715	101324.996	101324.997	101324.996	101324.998	0.00148009163	0	0	0	25.2137	0	0	3
59	63	0	0.877414141	101324.996	101324.997	101324.996	101324.997	0.00137745423	0	0	0	24.8472	0	0	3
60	64	0	0.892285567	101324.996	101324.997	101324.996	101324.997	0.00122567809	0	0	0	24.8152	0	0	3
61	65	0	0.907156993	101324.996	101324.996	101324.996	101324.997	0.00108230139	0	0	0	24.549	0	0	3
62	66	0	0.922028419	101324.996	101324.996	101324.996	101324.997	0.000972754497	0	0	0	24.7043	0	0	3
63	67	0	0.936899845	101324.996	101324.996	101324.996	101324.997	0.000922829233	0	0	0	24.4456	0	0	3
64	68	0	0.951771272	101324.996	101324.996	101324.996	101324.997	0.000890333919	0	0	0	24.6091	0	0	3
65	69	0	0.966642698	101324.996	101324.996	101324.996	101324.997	0.000890333919	0	0	0	24.3156	0	0	3
66	70	0	0.981514124	101324.996	101324.996	101324.996	101324.997	0.000890333919	0	0	0	24.4383	0	0	3
67	71	0	0.99638555	101324.996	101324.996	101324.996	101324.997	0.000890333919	0	0	0	24.124	0	0	3
68	72	0	1.01125698	101324.996	101324.996	101324.996	101324.997	0.000890333919	0.00101324996	0	0	24.2964	0	0	3
