Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0136067374	293.200004	293.200004	293.200004	293.200004	0	0	0	0	0.0116591	0	0	3
2	7	0	0.0272134748	293.200005	293.200004	293.200004	293.200005	5.47724312e-07	0	0	0	0.0109925	0	0	3
3	9	0	0.0408202122	293.200005	293.200005	293.200004	293.200005	9.98021562e-07	0	0	0	0.0102423	0	0	3
4	10	0	0.0544269496	293.200006	293.200005	293.200004	293.200006	1.37621902e-06	0	0	0	0.00934504	0	0	3
5	11	0	0.068033687	293.200007	293.200005	293.200004	293.200007	1.71145064e-06	0	0	0	0.00942401	0	0	3
6	12	0	0.0816404244	293.200007	293.200006	293.200004	293.200007	2.06367918e-06	0	0	0	0.00940197	0	0	3
7	13	0	0.0952471618	293.200008	293.200006	293.200004	293.200008	2.42833772e-06	0	0	0	0.00918363	0	0	3
8	14	0	0.108853899	293.200009	293.200006	293.200004	293.200009	2.7911974e-06	0	0	0	0.00871823	0	0	3
9	16	0	0.122460637	293.200009	293.200007	293.200004	293.200009	3.14237707e-06	0	0	0	0.00947012	0	0	3
10	17	0	0.136067374	293.20001	293.200007	293.200004	293.20001	3.47737921e-06	0	0	0	0.00947103	0	0	3
11	18	0	0.149674111	293.200011	293.200007	293.200004	293.200011	3.81376856e-06	0	0	0	0.00922525	0	0	3
12	19	0	0.163280849	293.200011	293.200008	293.200004	293.200011	4.14458594e-06	0	0	0	0.00922517	0	0	3
13	20	0	0.176887586	293.200012	293.200008	293.200004	293.200012	4.46776846e-06	0	0	0	0.00788679	0	0	3
14	21	0	0.190494324	293.200012	293.200008	293.200004	293.200012	4.78209802e-06	0	0	0	0.00796178	0	0	3
15	22	0	0.204101061	293.200013	293.200009	293.200004	293.200013	5.08777049e-06	0	0	0	0.00674146	0	0	3
16	23	0	0.217707798	293.200014	293.200009	293.200004	293.200014	5.39712664e-06	0	0	0	0.00657388	0	0	3
17	25	0	0.231314536	293.200014	293.200009	293.200004	293.200014	5.70675218e-06	0	0	0	0.00643705	0	0	3
