Iteration	CPUTime	PhysTime	Travels
1	3	0	0.014586375
2	4	0	0.0291727499
3	5	0	0.0437591249
4	6	0	0.0583454998
5	6	0	0.0729318748
6	7	0	0.0875182497
7	8	0	0.102104625
8	8	0	0.116691
9	9	0	0.131277375
10	10	0	0.14586375
11	10	0	0.160450125
12	11	0	0.175036499
13	12	0	0.189622874
14	13	0	0.204209249
15	14	0	0.218795624
16	14	0	0.233381999
17	15	0	0.247968374
18	16	0	0.262554749
19	17	0	0.277141124
20	17	0	0.291727499
21	18	0	0.306313874
22	19	0	0.320900249
23	19	0	0.335486624
24	20	0	0.350072999
25	21	0	0.364659374
26	21	0	0.379245749
27	22	0	0.393832124
28	23	0	0.408418499
29	24	0	0.423004874
30	24	0	0.437591249
31	25	0	0.452177624
32	26	0	0.466763999
33	26	0	0.481350374
34	27	0	0.495936749
35	28	0	0.510523124
36	28	0	0.525109498
37	29	0	0.539695873
38	30	0	0.554282248
39	30	0	0.568868623
40	31	0	0.583454998
41	32	0	0.598041373
42	32	0	0.612627748
43	33	0	0.627214123
44	34	0	0.641800498
45	34	0	0.656386873
46	35	0	0.670973248
47	36	0	0.685559623
48	36	0	0.700145998
49	37	0	0.714732373
50	38	0	0.729318748
51	38	0	0.743905123
52	39	0	0.758491498
53	40	0	0.773077873
54	40	0	0.787664248
55	41	0	0.802250623
56	42	0	0.816836998
57	43	0	0.831423373
58	44	0	0.846009748
59	44	0	0.860596122
60	45	0	0.875182497
61	46	0	0.889768872
62	46	0	0.904355247
63	47	0	0.918941622
64	48	0	0.933527997
65	48	0	0.948114372
66	49	0	0.962700747
67	50	0	0.977287122
68	50	0	0.991873497
69	51	0	1.00645987
